p_raw,p_cal,weight
0.173,0.174,113
0.174,0.174,149
0.174,0.175,8
0.175,0.175,140
0.176,0.175,109
0.176,0.176,53
0.177,0.176,145
0.178,0.176,49
0.178,0.177,101
0.179,0.177,130
0.18,0.177,13
0.18,0.178,124
0.181,0.178,102
0.181,0.179,32
0.182,0.179,152
0.183,0.179,71
0.183,0.18,70
0.184,0.18,143
0.185,0.18,33
0.185,0.181,104
0.186,0.181,136
0.186,0.182,8
0.187,0.182,145
0.188,0.182,82
0.188,0.183,44
0.189,0.183,114
0.19,0.183,45
0.19,0.184,88
0.191,0.184,144
0.192,0.184,20
0.192,0.185,119
0.193,0.185,110
0.193,0.186,27
0.194,0.186,142
0.195,0.186,85
0.195,0.187,43
0.196,0.187,157
0.197,0.187,46
0.197,0.188,95
0.198,0.188,137
0.199,0.188,13
0.199,0.189,114
0.2,0.189,126
0.2,0.19,22
0.201,0.19,165
0.202,0.19,97
0.202,0.191,49
0.203,0.191,145
0.204,0.191,52
0.204,0.192,82
0.205,0.192,150
0.206,0.192,18
0.206,0.193,106
0.207,0.193,134
0.207,0.194,8
0.208,0.194,126
0.209,0.194,108
0.209,0.195,40
0.21,0.195,109
0.211,0.195,61
0.211,0.196,62
0.212,0.196,136
0.213,0.196,46
0.213,0.197,102
0.214,0.197,126
0.215,0.197,13
0.215,0.198,117
0.216,0.198,125
0.216,0.199,15
0.217,0.199,149
0.218,0.199,95
0.218,0.2,36
0.219,0.2,168
0.22,0.2,60
0.22,0.201,72
0.221,0.201,135
0.222,0.201,46
0.222,0.202,84
0.223,0.202,144
0.224,0.202,20
0.224,0.203,107
0.225,0.203,119
0.225,0.204,9
0.226,0.204,122
0.227,0.204,96
0.227,0.205,27
0.228,0.205,132
0.229,0.205,83
0.229,0.206,62
0.23,0.206,145
0.231,0.206,63
0.231,0.207,94
0.232,0.207,151
0.233,0.207,35
0.233,0.208,102
0.234,0.208,112
0.235,0.208,8
0.235,0.209,150
0.236,0.209,126
0.236,0.21,9
0.237,0.21,110
0.238,0.21,116
0.238,0.211,32
0.239,0.211,141
0.24,0.211,80
0.24,0.212,45
0.241,0.212,150
0.242,0.212,63
0.242,0.213,77
0.243,0.213,155
0.244,0.213,40
0.244,0.214,95
0.245,0.214,145
0.246,0.214,23
0.246,0.215,147
0.247,0.215,116
0.247,0.216,1
0.248,0.216,128
0.249,0.216,110
0.249,0.217,26
0.25,0.217,125
0.251,0.217,122
0.251,0.218,35
0.252,0.218,140
0.253,0.218,91
0.253,0.219,54
0.254,0.219,142
0.255,0.219,59
0.255,0.22,60
0.256,0.22,122
0.257,0.22,56
0.257,0.221,87
0.258,0.221,126
0.259,0.221,32
0.259,0.222,105
0.26,0.222,135
0.261,0.222,10
0.261,0.223,112
0.262,0.223,133
0.262,0.224,1
0.263,0.224,165
