p_raw,p_cal,weight
0.837,0.584,22
0.838,0.584,77
0.838,0.585,27
0.839,0.585,76
0.839,0.586,37
0.84,0.586,78
0.84,0.587,53
0.841,0.587,66
0.841,0.588,50
0.842,0.588,63
0.842,0.589,66
0.843,0.589,43
0.843,0.59,76
0.844,0.59,51
0.844,0.591,86
0.845,0.591,27
0.845,0.592,111
0.846,0.592,14
0.846,0.593,118
0.847,0.593,7
0.847,0.594,125
0.847,0.595,6
0.848,0.595,124
0.848,0.596,14
0.849,0.596,124
0.849,0.597,29
0.85,0.597,86
0.85,0.598,41
0.851,0.598,71
0.851,0.599,60
0.852,0.599,53
0.852,0.6,60
0.853,0.6,39
0.853,0.601,95
0.854,0.601,24
0.854,0.602,98
0.855,0.602,16
0.855,0.603,114
0.855,0.604,2
0.856,0.604,107
0.856,0.605,20
0.857,0.605,88
0.857,0.606,38
0.858,0.606,84
0.858,0.607,60
0.859,0.607,61
0.859,0.608,79
0.86,0.608,32
0.86,0.609,96
0.861,0.609,20
0.861,0.61,91
0.861,0.611,4
0.862,0.611,111
0.862,0.612,28
0.863,0.612,97
0.863,0.613,30
0.864,0.613,55
0.864,0.614,54
0.865,0.614,56
0.865,0.615,82
0.866,0.615,19
0.866,0.616,123
0.867,0.617,114
0.867,0.618,28
0.868,0.618,73
0.868,0.619,42
0.869,0.619,58
0.869,0.62,59
0.87,0.62,36
0.87,0.621,82
0.871,0.621,14
0.871,0.622,102
0.871,0.623,15
0.872,0.623,93
0.872,0.624,31
0.873,0.624,56
0.873,0.625,72
0.874,0.625,52
0.874,0.626,89
0.875,0.626,9
0.875,0.627,92
0.875,0.628,21
0.876,0.628,84
0.876,0.629,40
0.877,0.629,58
0.877,0.63,84
0.878,0.63,38
0.878,0.631,113
0.879,0.632,107
0.879,0.633,30
0.88,0.633,81
0.88,0.634,66
0.881,0.634,37
0.881,0.635,84
0.882,0.635,15
0.882,0.636,102
0.882,0.637,28
0.883,0.637,91
0.883,0.638,50
0.884,0.638,49
0.884,0.639,66
0.885,0.639,12
0.885,0.64,105
0.885,0.641,25
0.886,0.641,75
0.886,0.642,49
0.887,0.642,44
0.887,0.643,96
0.888,0.643,6
0.888,0.644,104
0.888,0.645,24
0.889,0.645,56
0.889,0.646,85
0.89,0.646,28
0.89,0.647,121
0.89,0.648,3
0.891,0.648,88
0.891,0.649,36
0.892,0.649,50
0.892,0.65,81
0.893,0.65,10
0.893,0.651,101
0.893,0.652,22
0.894,0.652,61
0.894,0.653,46
0.895,0.653,28
0.895,0.654,85
0.895,0.655,6
0.896,0.655,76
0.896,0.656,37
0.897,0.656,47
0.897,0.657,75
0.898,0.657,1
0.898,0.658,99
0.898,0.659,37
0.899,0.659,44
0.899,0.66,75
0.9,0.66,13
0.9,0.661,91
0.9,0.662,29
0.901,0.662,56
0.901,0.663,77
0.902,0.663,14
0.902,0.664,66
0.902,0.665,28
0.903,0.665,48
0.903,0.666,82
0.904,0.666,9
0.904,0.667,82
0.904,0.668,32
0.905,0.668,55
0.905,0.669,88
0.906,0.669,7
0.906,0.67,91
0.906,0.671,33
0.907,0.671,49
0.907,0.672,96
0.908,0.672,1
0.908,0.673,81
0.908,0.674,38
0.909,0.674,42
0.909,0.675,87
0.909,0.676,11
0.91,0.676,76
0.91,0.677,48
0.911,0.677,21
0.911,0.678,77
0.911,0.679,24
0.912,0.679,53
0.912,0.68,67
0.913,0.68,8
0.913,0.681,82
0.913,0.682,34
0.914,0.682,40
0.914,0.683,80
0.914,0.684,12
0.915,0.684,56
0.915,0.685,61
0.916,0.685,13
0.916,0.686,85
0.916,0.687,36
0.917,0.687,38
0.917,0.688,73
0.917,0.689,7
0.918,0.689,70
0.918,0.69,62
0.919,0.69,5
0.919,0.691,74
0.919,0.692,32
0.92,0.692,28
0.92,0.693,62
0.92,0.694,17
0.921,0.694,71
0.921,0.695,56
0.922,0.695,2
0.922,0.696,79
0.922,0.697,51
0.923,0.697,18
0.923,0.698,61
0.923,0.699,35
0.924,0.699,35
0.924,0.7,64
0.924,0.701,22
0.925,0.701,39
0.925,0.702,64
0.926,0.703,69
0.926,0.704,54
0.927,0.704,16
0.927,0.705,62
0.927,0.706,39
0.928,0.706,39
0.928,0.707,60
0.928,0.708,35
0.929,0.708,45
0.929,0.709,72
0.929,0.71,22
0.93,0.71,36
0.93,0.711,56
0.93,0.712,16
0.931,0.712,36
0.931,0.713,60
0.931,0.714,1
0.932,0.714,50
0.932,0.715,47
0.933,0.716,52
0.933,0.717,63
0.934,0.717,8
0.934,0.718,57
0.934,0.719,57
0.935,0.719,3
0.935,0.72,72
0.935,0.721,48
0.936,0.721,13
0.936,0.722,72
0.936,0.723,54
0.937,0.723,12
0.937,0.724,61
0.937,0.725,54
0.938,0.725,8
0.938,0.726,70
0.938,0.727,52
0.939,0.727,9
0.939,0.728,49
0.939,0.729,47
0.94,0.729,8
0.94,0.73,63
0.94,0.731,59
0.941,0.731,2
0.941,0.732,55
0.941,0.733,67
0.941,0.734,2
0.942,0.734,39
0.942,0.735,51
0.942,0.736,8
0.943,0.736,45
0.943,0.737,57
0.943,0.738,18
0.944,0.738,44
0.944,0.739,54
0.944,0.74,24
0.945,0.74,25
0.945,0.741,54
0.945,0.742,36
0.946,0.742,14
0.946,0.743,49
0.946,0.744,41
0.947,0.744,13
0.947,0.745,48
0.947,0.746,42
0.947,0.747,3
0.948,0.747,41
0.948,0.748,51
0.948,0.749,21
0.949,0.749,30
0.949,0.75,40
0.949,0.751,28
0.95,0.751,16
0.95,0.752,53
0.95,0.753,36
0.951,0.753,1
0.951,0.754,63
0.951,0.755,61
0.951,0.756,19
0.952,0.756,37
0.952,0.757,46
0.952,0.758,47
0.953,0.758,16
0.953,0.759,72
0.953,0.76,40
0.953,0.761,7
0.954,0.761,47
0.954,0.762,54
0.954,0.763,28
0.955,0.763,19
0.955,0.764,41
0.955,0.765,38
0.955,0.766,2
0.956,0.766,42
0.956,0.767,50
0.956,0.768,29
0.957,0.768,17
0.957,0.769,52
0.957,0.77,49
0.957,0.771,11
0.958,0.771,33
0.958,0.772,35
0.958,0.773,29
0.959,0.773,10
0.959,0.774,47
0.959,0.775,50
0.959,0.776,10
0.96,0.776,31
0.96,0.777,43
0.96,0.778,40
0.96,0.779,3
0.961,0.779,45
0.961,0.78,45
0.961,0.781,29
0.962,0.781,6
0.962,0.782,38
0.962,0.783,42
0.962,0.784,25
0.963,0.784,14
0.963,0.785,40
0.963,0.786,43
0.963,0.787,15
0.964,0.787,30
0.964,0.788,37
0.964,0.789,40
0.964,0.79,10
0.965,0.79,34
0.965,0.791,48
0.965,0.792,53
0.965,0.793,2
0.966,0.793,51
0.966,0.794,45
0.966,0.795,42
0.967,0.796,49
0.967,0.797,31
0.967,0.798,53
0.967,0.799,3
0.968,0.799,48
0.968,0.8,42
0.968,0.801,48
0.968,0.802,5
0.969,0.802,33
0.969,0.803,28
0.969,0.804,40
0.969,0.805,9
0.97,0.805,38
0.97,0.806,58
0.97,0.807,36
0.97,0.808,12
0.971,0.808,28
0.971,0.809,50
0.971,0.81,39
0.971,0.811,19
0.972,0.811,15
0.972,0.812,44
0.972,0.813,47
0.972,0.814,43
0.973,0.814,4
0.973,0.815,36
0.973,0.816,41
0.973,0.817,28
0.973,0.818,9
0.974,0.818,34
0.974,0.819,47
0.974,0.82,45
0.974,0.821,21
0.975,0.821,14
0.975,0.822,49
0.975,0.823,37
0.975,0.824,39
0.975,0.825,17
0.976,0.825,20
0.976,0.826,46
0.976,0.827,43
0.976,0.828,38
0.977,0.828,3
0.977,0.829,39
0.977,0.83,45
0.977,0.831,34
0.977,0.832,25
0.978,0.832,11
0.978,0.833,39
0.978,0.834,42
0.978,0.835,42
0.978,0.836,14
0.979,0.836,20
0.979,0.837,44
0.979,0.838,47
0.979,0.839,47
0.979,0.84,15
0.98,0.84,24
0.98,0.841,27
0.98,0.842,34
0.98,0.843,28
0.98,0.844,15
0.981,0.844,29
0.981,0.845,27
0.981,0.846,44
0.981,0.847,31
0.981,0.848,17
0.982,0.848,17
0.982,0.849,28
0.982,0.85,35
0.982,0.851,21
0.982,0.852,23
0.983,0.852,3
0.983,0.853,31
0.983,0.854,30
0.983,0.855,35
0.983,0.856,26
0.983,0.857,9
0.984,0.857,28
0.984,0.858,18
0.984,0.859,18
0.984,0.86,20
0.984,0.861,14
0.985,0.861,9
0.985,0.862,18
0.985,0.863,13
0.985,0.864,14
0.985,0.865,12
0.985,0.866,9
0.986,0.866,8
0.986,0.867,14
0.986,0.868,18
0.986,0.869,23
0.986,0.87,12
0.986,0.871,6
0.987,0.871,5
0.987,0.872,18
0.987,0.873,13
0.987,0.874,13
0.987,0.875,15
0.987,0.876,2
0.988,0.876,7
0.988,0.877,12
0.988,0.878,13
0.988,0.879,6
0.988,0.88,10
0.988,0.881,7
0.989,0.881,1
0.989,0.882,15
0.989,0.883,8
0.989,0.884,10
0.989,0.885,7
0.989,0.886,4
0.989,0.887,2
0.99,0.887,7
0.99,0.888,6
0.99,0.889,5
0.99,0.89,1
0.99,0.891,7
0.99,0.892,5
0.991,0.893,5
0.991,0.895,5
0.991,0.896,5
0.991,0.897,6
0.991,0.898,1
0.992,0.899,3
0.992,0.9,3
0.992,0.901,2
0.992,0.902,1
0.992,0.903,1
0.992,0.904,3
0.993,0.906,2
0.993,0.907,1
0.993,0.908,2
0.993,0.91,1
0.994,0.914,1
0.994,0.917,1
0.995,0.924,1
0.996,0.931,1
0.996,0.936,1
